filename,trialnum,condition,target,face_up,target_up,analysis_p_len,ltcenteraoi,ftsideaoi,valid_gaze_percent,longest_nv_combined,pfix_center_bef_disengagement,aoi_border_violation,technical_error,combination,csaccpindex
TV10_SRT1.gazedata,0,2,5,501.7009,2316.4619,801.6021,249.905,283.2261,0.95918,16.2891,0.95843,0,0,249.905,0.11754
TV10_SRT1.gazedata,1,4,5,500.012,2599.9421,1066.4551,516.4531,549.7722,1,0,0.96876,0,0,516.4531,0.43112
TV10_SRT1.gazedata,2,3,3,499.8982,2533.179,1033.458,483.564,516.8989,1,0,0.96774,0,0,483.564,0.39243
TV10_SRT1.gazedata,3,4,3,500.1741,2453.9858,936.48,367.531,419.6418,0.96491,17.5581,0.89097,1,1,-1,-1
TV10_SRT1.gazedata,4,2,6,500.082,2333.3782,816.7781,266.623,300.0332,1,0,0.9591,0,0,266.623,0.1372
TV10_SRT1.gazedata,5,2,3,501.5371,2366.231,834.803,283.302,316.647,0.98039,16.6641,0.96006,0,0,283.302,0.15683
TV10_SRT1.gazedata,6,3,4,500,2350.187,816.8152,266.835,300.165,1,0,0.73469,0,0,266.835,0.13745
TV10_SRT1.gazedata,7,2,4,500.0278,6366.7661,1495.8638,-1,-1,0.42222,879.251,0.36764,0,1,-1,-1
TV10_SRT1.gazedata,8,3,5,499.9651,2550.0872,1050.1052,500.1411,533.4731,1,0,0.96826,0,0,500.1411,0.41193
TV10_SRT1.gazedata,9,3,6,489.249,3234.6089,1472.6909,-1,-1,0.83146,116.6709,0.20771,0,1,-1,-1
TV10_SRT1.gazedata,10,4,6,499.9451,2249.895,750.0642,216.6602,233.4392,1,0,0.97763,0,0,216.6602,0.078424
TV10_SRT1.gazedata,11,4,4,500.4519,2633.2961,1116.9729,566.5332,599.853,1,0,0.97017,0,0,566.5332,0.49004
TV10_SRT2.gazedata,0,4,5,504.3491,2416.7998,923.8801,385.6919,402.865,0.24138,612.9001,0.98141,1,1,-1,-1
TV10_SRT2.gazedata,1,3,5,499.8311,2483.334,983.322,433.4702,466.8262,1,0,0.81356,0,0,433.4702,0.33349
TV10_SRT2.gazedata,2,4,4,502.4912,2634.7361,1104.4111,568.5649,585.2471,0.98485,16.6499,0.95252,1,1,-1,-1
TV10_SRT2.gazedata,3,2,5,500.04,2833.917,1366.7441,833.3201,849.9922,0.92771,99.979,0.5123,1,1,-1,-1
TV10_SRT2.gazedata,4,3,6,499.77,2344.616,833.187,283.4148,316.7529,1,0,0.95999,0,0,283.4148,0.15696
TV10_SRT2.gazedata,5,2,4,500.2971,2399.9861,1483.707,-1,-1,0.79775,104.5391,0.29238,0,1,-1,-1
TV10_SRT2.gazedata,6,2,6,502.865,114369.1931,1498.2109,-1,-1,0.43333,795.854,0.29112,0,1,-1,-1
TV10_SRT2.gazedata,7,3,3,499.9431,2316.135,783.217,233.2761,266.5991,1,0,0.95745,0,0,233.2761,0.097972
TV10_SRT2.gazedata,8,3,4,500.5669,11625.126,1500.5549,-1,-1,0.79121,49.9919,0,0,1,-1,-1
TV10_SRT2.gazedata,9,2,3,500.095,2316.554,783.4331,216.6641,266.6641,1,0,0.93618,0,0,216.6641,0.078428
TV10_SRT2.gazedata,10,4,3,495.7021,2266.4451,782.9961,217.0979,250.437,0.72093,165.2659,0.88711,0,0,217.0979,0.078939
TV10_SRT2.gazedata,11,4,6,500.2969,2284.0342,783.7688,250.1421,266.811,1,0,0.89367,0,0,250.1421,0.11781
TV10_SRT3.gazedata,0,2,3,505.0571,2566.489,1489.1741,-1,-1,0.6,470.7571,0,0,1,-1,-1
TV10_SRT3.gazedata,1,4,4,500.0168,18019.936,1499.968,-1,-1,0.43333,866.6741,1,0,1,-1,-1
TV10_SRT3.gazedata,2,2,6,497.0342,2365.2571,822.1912,273.5701,308.4761,0.32653,203.032,0.95755,1,1,-1,-1
TV10_SRT3.gazedata,3,3,3,499.9771,7812.9231,1491.0151,-1,-1,0.38202,924.3701,1,0,1,-1,-1
TV10_SRT3.gazedata,4,4,5,500.02,2350.3708,816.6721,266.667,300.012,1,0,0.95917,0,0,266.667,0.13726
TV10_SRT3.gazedata,5,3,6,500.0068,35538.4182,1491.02,-1,-1,0.31111,1024.3401,0.27946,0,1,-1,-1
TV10_SRT3.gazedata,6,2,4,216.658,399.9841,633.3081,-1,-1,0,633.3081,0,0,1,-1,-1
TV10_SRT3.gazedata,7,2,5,199.9919,366.6521,583.3101,-1,-1,0,583.3101,0,0,1,-1,-1
TV10_SRT3.gazedata,8,3,5,199.9919,433.3162,649.9741,-1,-1,0,649.9741,0,0,1,-1,-1
TV10_SRT3.gazedata,9,3,4,199.9919,849.9661,1066.624,-1,-1,0,1066.624,0,0,1,-1,-1
